STATEFP,COUNTYFP,TRACTCE,GEOID,date,flares
48,013,960100,48013960100,2018-11-03,1
48,013,960100,48013960100,2018-11-04,2
48,013,960100,48013960100,2018-11-06,1
48,013,960100,48013960100,2018-11-14,2
48,013,960100,48013960100,2018-11-15,1
48,013,960100,48013960100,2018-11-16,2
48,013,960100,48013960100,2018-11-26,2
48,013,960100,48013960100,2018-11-29,1
48,013,960100,48013960100,2018-12-01,1
48,013,960100,48013960100,2018-12-02,1
48,013,960100,48013960100,2018-12-04,3
48,013,960100,48013960100,2018-12-09,1
48,013,960100,48013960100,2018-12-11,2
48,013,960100,48013960100,2018-12-14,1
48,013,960100,48013960100,2018-12-16,3
48,013,960100,48013960100,2018-12-21,2
48,013,960100,48013960100,2018-12-23,3
48,013,960100,48013960100,2018-12-28,2
48,013,960100,48013960100,2019-01-01,3
48,013,960100,48013960100,2019-01-04,3
48,013,960100,48013960100,2019-01-05,1
48,013,960100,48013960100,2019-01-06,1
48,013,960100,48013960100,2019-01-12,1
48,013,960100,48013960100,2019-01-13,1
48,013,960100,48013960100,2019-01-20,3
48,013,960100,48013960100,2019-01-21,2
48,013,960100,48013960100,2019-01-22,1
48,013,960100,48013960100,2019-01-24,1
48,013,960100,48013960100,2019-01-25,1
48,013,960100,48013960100,2019-01-28,1
48,013,960100,48013960100,2019-01-29,2
48,013,960100,48013960100,2019-02-01,1
48,013,960100,48013960100,2019-02-13,4
48,013,960100,48013960100,2019-02-15,3
48,013,960100,48013960100,2019-02-16,6
48,013,960100,48013960100,2019-02-18,1
48,013,960100,48013960100,2019-02-24,2
48,013,960100,48013960100,2019-02-25,3
48,013,960100,48013960100,2019-03-04,1
48,013,960100,48013960100,2019-03-20,3
48,013,960100,48013960100,2019-03-25,1
48,013,960100,48013960100,2019-03-26,1
48,013,960100,48013960100,2019-03-27,3
48,013,960100,48013960100,2019-03-29,1
48,013,960100,48013960100,2019-03-30,2
48,013,960100,48013960100,2019-04-08,1
48,013,960100,48013960100,2019-04-09,3
48,013,960100,48013960100,2019-04-10,5
48,013,960100,48013960100,2019-04-11,2
48,013,960100,48013960100,2019-04-13,1
48,013,960100,48013960100,2019-04-14,4
48,013,960100,48013960100,2019-04-15,4
48,013,960100,48013960100,2019-04-19,4
48,013,960100,48013960100,2019-04-20,4
48,013,960100,48013960100,2019-04-21,2
48,013,960100,48013960100,2019-04-25,3
48,013,960100,48013960100,2019-04-26,2
48,013,960100,48013960100,2019-04-27,1
48,013,960100,48013960100,2019-04-28,2
48,013,960100,48013960100,2019-05-02,2
48,013,960100,48013960100,2019-05-12,1
48,013,960100,48013960100,2019-05-13,2
48,013,960100,48013960100,2019-05-16,3
48,013,960100,48013960100,2019-05-21,1
48,013,960100,48013960100,2019-05-25,1
48,013,960100,48013960100,2019-05-29,2
48,013,960100,48013960100,2019-05-30,1
48,013,960100,48013960100,2019-06-02,1
48,013,960100,48013960100,2019-06-06,4
48,013,960100,48013960100,2019-06-07,3
48,013,960100,48013960100,2019-06-08,3
